,AAPL,GOOG,META,MSFT,TSLA
Alpha,0.005386665121904219,0.006189602706143744,0.01214454928950677,0.0029136739532375595,0.03121523855720326
Mkt-RF,1.0603812600627427,1.0411315479378225,1.1867098147933157,1.0168639721553003,1.396037837942889
SMB,-0.11902772608333184,-0.3632077479949929,-0.8415088934174149,-0.7184301415971788,2.192463149146869
HML,-0.43789862139000746,-0.5242522150102662,-0.8149014585097684,-0.5836440500150668,-1.3819737432839188
Alpha_err,0.007461921382687703,0.008982666800978173,0.01566236006774821,0.0046449324452713945,0.019609152335724998
Mkt-RF_err,0.1571170675441588,0.1891376488862999,0.32978424167998516,0.0978029822767839,0.41288729189292056
SMB_err,0.25186277896513526,0.3031926104530107,0.5286527865286575,0.15678074503513384,0.66186915502552
HML_err,0.15932402210813176,0.19179438251780953,0.3344165763376916,0.09917677788969688,0.4186869386626353
