,Metric,FF3 Optimized,S&P 500
0,Total Return,0.9299407151455679,0.8234671765166268
1,Annualized Return,0.1638439730071386,0.1299623934471128
2,Annualized Volatility,0.20875449996060505,0.18332805992715545
3,Sharpe Ratio,0.7848643887344143,0.7089061734398583
4,Max Drawdown,-0.30143859969456577,-0.2476952223905884
