,META,TSLA,GFS,MU,MSFT,AAPL
Alpha,0.012583000494400186,0.025108019739214706,-0.0058927777196783465,-0.008765427646391998,-0.0013787102800957565,0.0014842659056380951
Alpha_err,0.018640684084424597,0.019463289758992797,0.01707218797136094,0.014533151415223947,0.005043002869916359,0.00781440772955653
Adj_R2,0.3018741661996456,0.6003847866303884,0.3822768984273861,0.39284801626066645,0.7579151796684491,0.6044796452973398
Mkt-RF,1.2582608616749962,1.2978092048695995,1.4942321042175826,1.5530914162123997,0.9521485655296344,1.1095099227238021
Mkt-RF_err,0.38780946278587464,0.4049233338913595,0.35517774003181524,0.3023544424334225,0.10491697756114064,0.1625745734364582
SMB,-0.8136965311142871,3.0627151673420494,0.7997103599685496,-0.5948437431155132,-0.6654397413880861,0.11167340761945804
SMB_err,0.6318846673130478,0.6597694761886335,0.5787155539856474,0.49264691711030645,0.17094845748598006,0.26489394949647627
HML,-1.2329561259621369,-2.0044132488575404,0.5263811781795031,0.5268988167144728,-0.6633025032826693,-0.4740600450212322
HML_err,0.4669655318344994,0.4875725275099306,0.4276733246225812,0.36406822566731156,0.1263316574932497,0.1957577868321364
