Date,Return
2022-02-01,0.9363230248808458
2022-03-01,0.9800717139663869
2022-04-01,0.8807037991375456
2022-05-01,0.8516476166091091
2022-06-01,0.7927116701694454
2022-07-01,0.8844429918352377
2022-08-01,0.8373110447235835
2022-09-01,0.7428256304276512
2022-10-01,0.7431950127421929
2022-11-01,0.7958034064376268
2022-12-01,0.7353577234025307
2023-01-01,0.7913491733869038
2023-02-01,0.8121850825822526
2023-03-01,0.9331321509949995
2023-04-01,0.9837783850732851
2023-05-01,1.0518901328410402
2023-06-01,1.1178836494316724
2023-07-01,1.120596761618819
2023-08-01,1.0839937327183662
2023-09-01,1.0357854500039063
2023-10-01,1.0782200617402546
2023-11-01,1.2055131468819662
2023-12-01,1.213479047280604
2024-01-01,1.2470020374315576
2024-02-01,1.2980092388391273
2024-03-01,1.292797269644865
2024-04-01,1.2188072618443175
2024-05-01,1.3174639470450795
2024-06-01,1.4283526319228212
2024-07-01,1.388766708242076
2024-08-01,1.4036594606180908
2024-09-01,1.458165056588755
2024-10-01,1.3914758774142917
2024-11-01,1.461998598120139
2024-12-01,1.4884386754860448
2025-01-01,1.470113581598197
2025-02-01,1.4241962489262605
2025-03-01,1.3288338126122605
2025-04-01,1.3590280360578515
2025-05-01,1.511082354951269
