Date,Return
2022-02-01,0.9247454231390009
2022-03-01,0.9774657019025464
2022-04-01,0.8715622293589446
2022-05-01,0.8417531487421254
2022-06-01,0.780325076785864
2022-07-01,0.8648723763794512
2022-08-01,0.8158632383372139
2022-09-01,0.7276714357794561
2022-10-01,0.6947856081094985
2022-11-01,0.7556144475383941
2022-12-01,0.6937725935295612
2023-01-01,0.7603742520822069
2023-02-01,0.7933722990707891
2023-03-01,0.9110041712522446
2023-04-01,0.9522641557627434
2023-05-01,1.0356620076023442
2023-06-01,1.1088460982332167
2023-07-01,1.1144819377065147
2023-08-01,1.0792380313668182
2023-09-01,1.0451844778526513
2023-10-01,1.0804280369147554
2023-11-01,1.213808091680675
2023-12-01,1.2250020204065204
2024-01-01,1.2592664451703874
2024-02-01,1.341002694949693
2024-03-01,1.3384089242409023
2024-04-01,1.2525121363467464
2024-05-01,1.331093799808619
2024-06-01,1.4413997375966707
2024-07-01,1.39203338283989
2024-08-01,1.396396702940509
2024-09-01,1.47716942662257
2024-10-01,1.4064308634361213
2024-11-01,1.507068328652242
2024-12-01,1.5364626391948681
2025-01-01,1.5452627791699804
2025-02-01,1.4517087233117631
2025-03-01,1.3507468224882324
2025-04-01,1.404755613226922
2025-05-01,1.6302182026532324
