,Date,Ticker,Return,Mkt-RF,SMB,HML,RMW,CMA,RF,Excess Return
0,2022-02-01,META,-0.32634237309452985,-0.022799999999999997,0.028399999999999998,0.0316,-0.0203,0.0304,0.0,-0.32634237309452985
1,2022-03-01,META,0.05368907748998075,0.0308,-0.021099999999999997,-0.0187,-0.015300000000000001,0.0321,0.0,0.05368907748998075
2,2022-04-01,META,-0.09844418120763321,-0.0941,-0.0037,0.062,0.0346,0.0593,0.0,-0.09844418120763321
3,2022-05-01,META,-0.034069814776420904,-0.0033,-0.0001,0.08460000000000001,0.0154,0.0392,0.0003,-0.034369814776420905
4,2022-06-01,META,-0.16726914742317456,-0.084,0.013300000000000001,-0.0613,0.0181,-0.0453,0.0006,-0.16786914742317455
5,2022-07-01,META,-0.013333370123618238,0.09570000000000001,0.0179,-0.0414,0.0076,-0.0683,0.0008,-0.014133370123618238
6,2022-08-01,META,0.024072972058422515,-0.0377,0.015,0.0019,-0.0479,0.0134,0.0019,0.022172972058422516
7,2022-09-01,META,-0.16724972811862227,-0.0934,-0.0096,0.0005,-0.0137,-0.0076,0.0019,-0.16914972811862228
8,2022-10-01,META,-0.3133844086596017,0.0786,0.0182,0.0797,0.032799999999999996,0.0642,0.0023,-0.31568440865960173
9,2022-11-01,META,0.2677113762341954,0.046900000000000004,-0.0275,0.0149,0.06309999999999999,0.0316,0.0029,0.2648113762341954
10,2022-12-01,META,0.018967019730377288,-0.0638,-0.0019,0.013500000000000002,0.0031,0.043,0.0033,0.015667019730377287
11,2023-01-01,META,0.2379090801996846,0.0659,0.0441,-0.0392,-0.024399999999999998,-0.0441,0.0034999999999999996,0.2344090801996846
12,2023-02-01,META,0.17433065671201242,-0.025699999999999997,0.0059,-0.0079,0.0096,-0.0151,0.0034000000000000002,0.1709306567120124
13,2023-03-01,META,0.21150099782368748,0.024900000000000002,-0.0689,-0.0906,0.0227,-0.021,0.0036,0.20790099782368748
14,2023-04-01,META,0.13390591053253842,0.0063,-0.0258,-0.0012,0.0242,0.0285,0.0034999999999999996,0.13040591053253842
15,2023-05-01,META,0.10153124287962711,0.0033,-0.0042,-0.07780000000000001,-0.018000000000000002,-0.0706,0.0036,0.09793124287962711
16,2023-06-01,META,0.08408885713335201,0.0646,0.0126,-0.0014000000000000002,0.0233,-0.0155,0.004,0.08008885713335201
17,2023-07-01,META,0.11018178867084383,0.0321,0.0286,0.0406,-0.0060999999999999995,0.0066,0.0045000000000000005,0.10568178867084382
18,2023-08-01,META,-0.07128050549927034,-0.0236,-0.036000000000000004,-0.0118,0.0346,-0.0241,0.0045000000000000005,-0.07578050549927035
19,2023-09-01,META,0.014599873916590678,-0.052300000000000006,-0.0176,0.0148,0.019299999999999998,-0.0077,0.0043,0.010299873916590678
20,2023-10-01,META,0.003531008553389281,-0.031400000000000004,-0.039900000000000005,0.0023,0.024399999999999998,-0.0069,0.004699999999999999,-0.0011689914466107183
21,2023-11-01,META,0.08590302065979216,0.0888,-0.0022,0.016200000000000003,-0.037000000000000005,-0.0108,0.0044,0.08150302065979216
