,Ticker,Weight,Weight (%)
0,AAPL,0.252392,25.24
1,GFS,0.0,0.0
2,META,0.068365,6.84
3,MSFT,0.654164,65.42
4,MU,0.0,0.0
5,TSLA,0.025079,2.51
