,META,TSLA,GFS,MU,MSFT,AAPL
Alpha,0.014533973260362338,0.017288974772459113,-0.004593076465908789,-0.01247636401831419,-0.0013750215648588781,0.00039166631404417146
Alpha_err,0.019822420139299878,0.02057616988209694,0.018077553384051204,0.014937283141086773,0.005209759560899977,0.007991674303282171
Adj_R2,0.2556317041791448,0.5788826954239947,0.34693068571520136,0.3952365369910483,0.756393436449015,0.6099531698564522
Mkt-RF,1.248926865676215,1.2611590298401651,1.5115910219647537,1.4894663936366332,0.957373653786842,1.1256212147921114
Mkt-RF_err,0.4028984047901779,0.4182186616937161,0.36743330883717007,0.30360609386496634,0.10589039086430718,0.1624338908048574
SMB,-0.7741974588121954,2.1035478007191335,0.6719528734348789,-0.9676596410231917,-0.5232894056406967,0.29289038487228003
SMB_err,0.7687149951984563,0.7979454688663171,0.7010489266782123,0.5792690023411066,0.2020348810941804,0.30991775123842974
HML,-1.144557047254911,-1.4220796940254006,0.27975173524042624,1.419307329834995,-0.6336879171313524,-0.6390400133289182
HML_err,0.8517244009841245,0.8841113165910116,0.7767514369632044,0.6418211523248314,0.2238515433582961,0.34338410552242676
RMW,-0.2520088841822196,-0.8196370254359471,-0.4078529638292948,-0.3544016773477417,0.31381180528357633,0.577020859611405
RMW_err,0.8981710386989433,0.9323240928996707,0.8191096135581326,0.6768212468451886,0.23605872155379273,0.36210968991075587
CMA,0.1682760339107565,-1.6268591760221465,0.23504057019775854,-1.107587743111686,0.09650964222033127,0.08623778997601315
CMA_err,1.0272498344129657,1.0663111242572865,0.9368262598541631,0.7740892144062348,0.26998341315829294,0.41414953608277805
