,Date,Ticker,Return,Mkt-RF,SMB,HML,RF,Excess Return
0,2022-02-01,GOOG,-0.005950510520456476,-0.022799999999999997,0.021099999999999997,0.0316,0.0,-0.005950510520456476
1,2022-03-01,GOOG,0.035276479919162274,0.0308,-0.015700000000000002,-0.0187,0.0,0.035276479919162274
2,2022-04-01,GOOG,-0.1767495542146732,-0.0941,-0.0137,0.062,0.0,-0.1767495542146732
3,2022-05-01,GOOG,-0.00806750562939662,-0.0034000000000000002,-0.0182,0.08460000000000001,0.0003,-0.00836750562939662
4,2022-06-01,GOOG,-0.040920393213619954,-0.084,0.0208,-0.0613,0.0006,-0.04152039321361996
5,2022-07-01,GOOG,0.0664473785311741,0.09570000000000001,0.028399999999999998,-0.0414,0.0008,0.06564737853117411
6,2022-08-01,GOOG,-0.0642147928332204,-0.0377,0.014199999999999999,0.0019,0.0019,-0.0661147928332204
7,2022-09-01,GOOG,-0.11910199501194274,-0.0934,-0.0075,0.0005,0.0019,-0.12100199501194274
8,2022-10-01,GOOG,-0.015496757091355784,0.0785,0.0,0.0797,0.0023,-0.017796757091355784
9,2022-11-01,GOOG,0.07173040937379405,0.04650000000000001,-0.035699999999999996,0.0149,0.0029,0.06883040937379405
10,2022-12-01,GOOG,-0.12538180816844047,-0.0637,-0.0076,0.013500000000000002,0.0033,-0.12868180816844046
11,2023-01-01,GOOG,0.12554939765413886,0.0661,0.050199999999999995,-0.0392,0.0034999999999999996,0.12204939765413886
12,2023-02-01,GOOG,-0.09582463805670904,-0.025699999999999997,0.0106,-0.0079,0.0034000000000000002,-0.09922463805670904
13,2023-03-01,GOOG,0.15171652502527655,0.0248,-0.0548,-0.0906,0.0036,0.14811652502527656
14,2023-04-01,GOOG,0.04057688986889474,0.0062,-0.0337,-0.0012,0.0034999999999999996,0.037076889868894736
15,2023-05-01,GOOG,0.13999260325393004,0.0034000000000000002,0.016,-0.07780000000000001,0.0036,0.13639260325393004
16,2023-06-01,GOOG,-0.019453676630044936,0.0646,0.0148,-0.0014000000000000002,0.004,-0.023453676630044936
17,2023-07-01,GOOG,0.10035523212406883,0.0321,0.020499999999999997,0.0406,0.0045000000000000005,0.09585523212406882
18,2023-08-01,GOOG,0.03185351203674203,-0.0236,-0.031,-0.0118,0.0045000000000000005,0.027353512036742026
19,2023-09-01,GOOG,-0.04004356193102954,-0.052300000000000006,-0.0248,0.0148,0.0043,-0.044343561931029535
20,2023-10-01,GOOG,-0.04967774224105781,-0.031400000000000004,-0.0381,0.0023,0.004699999999999999,-0.054377742241057805
21,2023-11-01,GOOG,0.06879474535405383,0.0888,-0.0012,0.016200000000000003,0.0044,0.06439474535405383
22,2023-12-01,GOOG,0.052344723079333466,0.048499999999999995,0.0629,0.0489,0.0043,0.04804472307933347
23,2024-01-01,GOOG,0.006173342400929149,0.0073,-0.050199999999999995,-0.022400000000000003,0.004699999999999999,0.00147334240092915
24,2024-02-01,GOOG,-0.014245365817963318,0.0507,-0.0017000000000000001,-0.0348,0.0042,-0.018445365817963317
25,2024-03-01,GOOG,0.08928300820996715,0.028399999999999998,-0.024700000000000003,0.0415,0.0043,0.08498300820996715
26,2024-04-01,GOOG,0.08130835006880854,-0.04650000000000001,-0.0232,-0.004699999999999999,0.004699999999999999,0.07660835006880855
27,2024-05-01,GOOG,0.05660842456183235,0.0433,0.0062,-0.013600000000000001,0.0044,0.05220842456183235
28,2024-06-01,GOOG,0.05438039274786921,0.027999999999999997,-0.0301,-0.0331,0.0040999999999999995,0.05028039274786921
29,2024-07-01,GOOG,-0.05491756031004924,0.012199999999999999,0.0682,0.0562,0.0045000000000000005,-0.059417560310049244
30,2024-08-01,GOOG,-0.04643373059985256,0.016,-0.0349,-0.011000000000000001,0.0048,-0.05123373059985256
31,2024-09-01,GOOG,0.012597699868603707,0.0172,-0.0012,-0.0277,0.004,0.008597699868603707
32,2024-10-01,GOOG,0.03425632489146335,-0.01,-0.009899999999999999,0.0086,0.0039000000000000003,0.03035632489146335
33,2024-11-01,GOOG,-0.012739482642833977,0.0649,0.0449,0.0015,0.004,-0.016739482642833977
34,2024-12-01,GOOG,0.11701552868888099,-0.0317,-0.027200000000000002,-0.03,0.0037,0.11331552868888099
35,2025-01-01,GOOG,0.08082994221620021,0.027999999999999997,-0.0195,0.016200000000000003,0.0037,0.07712994221620022
36,2025-02-01,GOOG,-0.16235401939043537,-0.024399999999999998,-0.0581,0.049100000000000005,0.0033,-0.16565401939043536
37,2025-03-01,GOOG,-0.09284639961237029,-0.0639,-0.0276,0.028999999999999998,0.0034000000000000002,-0.09624639961237029
38,2025-04-01,GOOG,0.031001022050444638,-0.0084,-0.0058,-0.0341,0.0034999999999999996,0.027501022050444638
39,2022-02-01,META,-0.32634229009679405,-0.022799999999999997,0.021099999999999997,0.0316,0.0,-0.32634229009679405
40,2022-03-01,META,0.05368915409626873,0.0308,-0.015700000000000002,-0.0187,0.0,0.05368915409626873
41,2022-04-01,META,-0.09844404321070277,-0.0941,-0.0137,0.062,0.0,-0.09844404321070277
42,2022-05-01,META,-0.034070039159460275,-0.0034000000000000002,-0.0182,0.08460000000000001,0.0003,-0.034370039159460276
43,2022-06-01,META,-0.16726908144416963,-0.084,0.0208,-0.0613,0.0006,-0.16786908144416962
44,2022-07-01,META,-0.013333274976329745,0.09570000000000001,0.028399999999999998,-0.0414,0.0008,-0.014133274976329746
45,2022-08-01,META,0.024072680437821514,-0.0377,0.014199999999999999,0.0019,0.0019,0.022172680437821515
46,2022-09-01,META,-0.16724966545094933,-0.0934,-0.0075,0.0005,0.0019,-0.16914966545094934
47,2022-10-01,META,-0.31338433101808716,0.0785,0.0,0.0797,0.0023,-0.3156843310180872
48,2022-11-01,META,0.2677114585790814,0.04650000000000001,-0.035699999999999996,0.0149,0.0029,0.2648114585790814
49,2022-12-01,META,0.01896682363173574,-0.0637,-0.0076,0.013500000000000002,0.0033,0.01566682363173574
50,2023-01-01,META,0.23790936551731345,0.0661,0.050199999999999995,-0.0392,0.0034999999999999996,0.23440936551731345
51,2023-02-01,META,0.17433053576706836,-0.025699999999999997,0.0106,-0.0079,0.0034000000000000002,0.17093053576706835
52,2023-03-01,META,0.21150091012219896,0.0248,-0.0548,-0.0906,0.0036,0.20790091012219897
53,2023-04-01,META,0.13390584783531678,0.0062,-0.0337,-0.0012,0.0034999999999999996,0.13040584783531678
54,2023-05-01,META,0.10153125584353462,0.0034000000000000002,0.016,-0.07780000000000001,0.0036,0.09793125584353461
55,2023-06-01,META,0.08408898279544164,0.0646,0.0148,-0.0014000000000000002,0.004,0.08008898279544163
56,2023-07-01,META,0.11018189559466385,0.0321,0.020499999999999997,0.0406,0.0045000000000000005,0.10568189559466384
57,2023-08-01,META,-0.07128049863410346,-0.0236,-0.031,-0.0118,0.0045000000000000005,-0.07578049863410347
58,2023-09-01,META,0.014599768698464244,-0.052300000000000006,-0.0248,0.0148,0.0043,0.010299768698464244
59,2023-10-01,META,0.003530804129806109,-0.031400000000000004,-0.0381,0.0023,0.004699999999999999,-0.0011691958701938905
60,2023-11-01,META,0.08590314001078214,0.0888,-0.0012,0.016200000000000003,0.0044,0.08150314001078214
61,2023-12-01,META,0.08195010092799726,0.048499999999999995,0.0629,0.0489,0.0043,0.07765010092799726
62,2024-01-01,META,0.10221505734105918,0.0073,-0.050199999999999995,-0.022400000000000003,0.004699999999999999,0.09751505734105918
63,2024-02-01,META,0.2562926506069203,0.0507,-0.0017000000000000001,-0.0348,0.0042,0.2520926506069203
64,2024-03-01,META,-0.00823216647743008,0.028399999999999998,-0.024700000000000003,0.0415,0.0043,-0.01253216647743008
65,2024-04-01,META,-0.11411088371905109,-0.04650000000000001,-0.0232,-0.004699999999999999,0.004699999999999999,-0.11881088371905109
66,2024-05-01,META,0.08522203252909044,0.0433,0.0062,-0.013600000000000001,0.0044,0.08082203252909044
67,2024-06-01,META,0.08009336191946237,0.027999999999999997,-0.0301,-0.0331,0.0040999999999999995,0.07599336191946238
68,2024-07-01,META,-0.05735305981002414,0.012199999999999999,0.0682,0.0562,0.0045000000000000005,-0.06185305981002415
69,2024-08-01,META,0.09788771333976598,0.016,-0.0349,-0.011000000000000001,0.0048,0.09308771333976598
70,2024-09-01,META,0.0980799217856867,0.0172,-0.0012,-0.0277,0.004,0.0940799217856867
71,2024-10-01,META,-0.00754425045520668,-0.01,-0.009899999999999999,0.0086,0.0039000000000000003,-0.011444250455206681
72,2024-11-01,META,0.011875052418314214,0.0649,0.0449,0.0015,0.004,0.007875052418314214
73,2024-12-01,META,0.01948395007934267,-0.0317,-0.027200000000000002,-0.03,0.0037,0.01578395007934267
74,2025-01-01,META,0.1780087970162334,0.027999999999999997,-0.0195,0.016200000000000003,0.0037,0.1743087970162334
75,2025-02-01,META,-0.03044199696349137,-0.024399999999999998,-0.0581,0.049100000000000005,0.0033,-0.033741996963491366
76,2025-03-01,META,-0.13744385912519785,-0.0639,-0.0276,0.028999999999999998,0.0034000000000000002,-0.14084385912519787
77,2025-04-01,META,-0.04662296796530552,-0.0084,-0.0058,-0.0341,0.0034999999999999996,-0.05012296796530552
78,2022-02-01,MSFT,-0.03919845159188151,-0.022799999999999997,0.021099999999999997,0.0316,0.0,-0.03919845159188151
79,2022-03-01,MSFT,0.03399518949692104,0.0308,-0.015700000000000002,-0.0187,0.0,0.03399518949692104
80,2022-04-01,MSFT,-0.09986693632068755,-0.0941,-0.0137,0.062,0.0,-0.09986693632068755
81,2022-05-01,MSFT,-0.020358943061865697,-0.0034000000000000002,-0.0182,0.08460000000000001,0.0003,-0.0206589430618657
82,2022-06-01,MSFT,-0.05312030604310536,-0.084,0.0208,-0.0613,0.0006,-0.05372030604310536
83,2022-07-01,MSFT,0.09309652870933194,0.09570000000000001,0.028399999999999998,-0.0414,0.0008,0.09229652870933194
84,2022-08-01,MSFT,-0.0686399248303835,-0.0377,0.014199999999999999,0.0019,0.0019,-0.0705399248303835
85,2022-09-01,MSFT,-0.10737614204586765,-0.0934,-0.0075,0.0005,0.0019,-0.10927614204586765
