,Return (%),Volatility,Sharpe Ratio,AAPL_Weightage,META_Weightage,GOOG_Weightage,TSLA_Weightage,MSFT_Weightage,MU_Weightage,GFS_Weightage
8899,0.004007753401475774,0.07775572155466023,0.019390899747690756,0.15242641241549368,0.17853634974651492,0.1154821192087555,0.09592122667673011,0.13675846092291,0.1991208450545409,0.1217545859750549
8900,0.010609647851459021,0.07153549841593086,0.11336536448389395,0.16409036975740782,0.09157738123551824,0.16152394292582392,0.1700977830971246,0.20414674914681363,0.15503591846710874,0.05352785537020305
8901,0.022025173697171177,0.09475459491251267,0.20606044187301792,0.16727661516723885,0.08562414095788465,0.02510172055691802,0.23727353698894554,0.01899265162596841,0.18158522500413904,0.2841461096989055
8902,0.02931187640860239,0.09004840301675844,0.2977496047721421,0.0303349324051514,0.07621259701810763,0.2634006231265224,0.03354604803557622,0.28830057321552854,9.351998306653408e-05,0.3081117062160472
8903,0.007980733791913084,0.07377238266418212,0.07429248716097227,0.019764955043368154,0.2727032417097186,0.2557170031830141,0.15959200393533926,0.230101680824851,0.022147077485900616,0.039974037817808165
8904,0.015309791652648728,0.08193154383124668,0.15634749516050725,0.08133547919574828,0.11837516929015264,0.19122405383269742,0.11952528300556436,0.14651133656750234,0.14974443636462528,0.19328424174370962
8905,-0.004808797720451577,0.07564175301265309,-0.09662385427832412,0.19557457339122467,0.24600079410231865,0.005038866137540676,0.05232797749435474,0.23427153706624979,0.19946853613433882,0.0673177156739726
8906,0.01399382718878457,0.0806407678374077,0.14253122207317084,0.22167250530598098,0.1979259621901562,0.01471160233743593,0.18459913099478653,0.17849620906468514,0.05031944499820141,0.15227514510875373
8907,0.0033037792294859473,0.06707749586997584,0.01198284490291657,0.27228189593573765,0.18967421266648202,0.2283731286674845,0.02789159668912719,0.20415230565806503,0.057461876204890995,0.02016498417821258
8908,0.021826296458287597,0.08538989652175932,0.2263300138016072,0.12190396735962207,0.16574210158928698,0.12072648740629452,0.20570548601734795,0.1536097723361388,0.025961643913812726,0.2063505413774969
8909,0.011894331180226097,0.08696081874375715,0.10802947023656569,0.04559435530884918,0.22612744020267242,0.04429879434789708,0.29779727070882095,0.09906517851502851,0.14789637063091982,0.13922059028581196
